,time,A_bid,A_ask,B_bid,B_ask
355,1611448493.6593218,87.30000000000001,87.9,87.4,87.7
356,1611448493.7094784,87.30000000000001,87.9,87.4,87.7
357,1611448493.7596672,87.30000000000001,87.9,87.4,87.7
358,1611448493.8098483,87.30000000000001,87.9,87.4,87.7
359,1611448493.8600132,87.30000000000001,87.9,87.4,87.7
360,1611448493.9102058,87.30000000000001,87.9,87.4,87.7
361,1611448493.9603631,87.30000000000001,87.9,87.4,87.7
362,1611448494.0105083,87.30000000000001,87.9,87.4,87.7
363,1611448494.0606825,87.30000000000001,87.9,87.4,87.7
364,1611448494.1108599,87.30000000000001,87.9,87.4,87.7
365,1611448494.161049,87.30000000000001,87.9,87.4,87.7
366,1611448494.3151188,87.10000000000001,87.60000000000001,87.4,87.60000000000001
367,1611448494.3662608,87.10000000000001,87.60000000000001,87.4,87.60000000000001
368,1611448494.4167356,87.0,87.60000000000001,87.4,87.60000000000001
369,1611448494.4672453,87.0,87.60000000000001,87.4,87.60000000000001
370,1611448494.517402,87.0,87.60000000000001,87.4,87.60000000000001
371,1611448494.5677307,87.0,87.60000000000001,87.4,87.60000000000001
372,1611448494.6178865,87.10000000000001,87.60000000000001,87.4,87.60000000000001
373,1611448494.6680822,87.10000000000001,87.60000000000001,87.4,87.5
374,1611448494.7182682,87.10000000000001,87.60000000000001,87.4,87.5
375,1611448494.7684183,87.10000000000001,87.60000000000001,87.4,87.5
376,1611448494.8186,87.10000000000001,87.60000000000001,87.4,87.5
377,1611448494.8687947,87.10000000000001,87.60000000000001,87.4,87.5
378,1611448494.9189749,87.0,87.60000000000001,87.4,87.7
379,1611448494.9691515,87.0,87.60000000000001,87.4,87.7
380,1611448495.0193274,87.0,87.60000000000001,87.4,87.7
381,1611448495.069503,87.0,87.60000000000001,87.4,87.7
382,1611448495.119676,87.0,87.60000000000001,87.4,87.7
383,1611448495.1698627,87.0,87.60000000000001,87.4,87.7
384,1611448495.2201507,87.0,87.60000000000001,87.4,87.7
385,1611448495.270332,87.0,87.60000000000001,87.4,87.7
386,1611448495.320512,87.0,87.60000000000001,87.4,87.7
387,1611448495.3706865,87.0,87.60000000000001,87.4,87.7
388,1611448495.4209273,87.0,87.60000000000001,87.4,87.7
389,1611448495.471109,87.0,87.60000000000001,87.4,87.7
390,1611448495.521278,87.0,87.60000000000001,87.4,87.7
391,1611448495.5715075,87.0,87.60000000000001,87.4,87.7
392,1611448495.6216547,87.0,87.60000000000001,87.4,87.7
393,1611448495.671828,87.0,87.60000000000001,87.4,87.7
394,1611448495.8386834,87.10000000000001,87.7,87.4,87.7
395,1611448495.888857,87.10000000000001,87.7,87.4,87.7
396,1611448495.939037,87.10000000000001,87.7,87.4,87.7
397,1611448495.9892101,87.10000000000001,87.7,87.4,87.7
398,1611448496.0393822,87.10000000000001,87.7,87.4,87.7
399,1611448496.0895538,87.10000000000001,87.7,87.4,87.7
400,1611448496.1397443,87.10000000000001,87.7,87.4,87.7
401,1611448496.1899219,87.10000000000001,87.7,87.4,87.7
402,1611448496.240088,87.10000000000001,87.7,87.4,87.7
403,1611448496.290268,87.10000000000001,87.7,87.4,87.7
404,1611448496.3404305,87.10000000000001,87.7,87.4,87.7
405,1611448496.390621,87.10000000000001,87.7,87.4,87.7
406,1611448496.4408076,87.10000000000001,87.7,87.4,87.7
407,1611448496.4909897,87.10000000000001,87.7,87.4,87.7
